Name,SellPrice,BuyPrice,AvgSellPrice,AvgBuyPrice,Sold,Bought,Profit,RelProfit,PotProfit
christmas present bag,352,152,725,250,72,272,200,1.32,14400
christmas token,379,270,463,234,181,156,109,0.4,17004
cigar,19999,500,26648,500,6,1,19499,39.0,19499
claw of 'the noxious spawn',60000,30010,49619,12879,68,40,29990,1.0,1199600
clay lump,1700,130,1297,538,41,143,1570,12.08,64370
cleaver,49,0,49,0,1,0,49,0,0
clerical mace,80,61,146,54,36,101,19,0.31,684
cliff strider claw,268,270,0,614,0,10,-2,-0.01,0
closed trap,199,0,772,0,12,0,199,0,0
club,3780,0,3799,0,1,0,3780,0,0
club of the fury,0,1000,0,5500,0,2,-1000,-1.0,0
club ring,648,505,706,482,428,458,143,0.28,61204
cluster of solace,6492,5005,7024,6263,343,1076,1487,0.3,510041
coal,18,1,33,6,50,309,17,17.0,850
coal basin kit,100000,100000,0,0,0,0,0,0.0,0
coal eyes,240,5000,0,5080,0,5,-4760,-0.95,0
coat,10,0,100,0,1,0,10,0,0
cobra axe,2997000,1711111,2526694,2215171,61,40,1285889,0.75,51435560
cobra boots,22394000,21000000,21541626,18696833,14,6,1394000,0.07,8364000
cobra club,2774000,2002002,2907975,2387477,28,21,771998,0.39,16211958
cobra crest,950,558,677,553,5,382,392,0.7,1960
cobra crossbow,2584999,2014001,2494572,2145719,88,73,570998,0.28,41682854
cobra crown,49576,49380,51078,49000,101,208,196,0.0,19796
cobra hood,7299975,6012000,6810597,6100053,60,53,1287975,0.21,68262675
cobra rod,6434999,6100000,7038464,6216628,58,56,334999,0.05,18759944
cobra sword,1999990,1712000,2417862,2063622,58,47,287990,0.17,13535530
cobra tongue,775,231,1757,346,193,111,544,2.35,60384
cobra wand,2194000,2003000,2459735,1994989,53,35,191000,0.1,6685000
cocktail glass,11,11,0,0,0,0,0,0.0,0
coconut,577,10,981,115,38,65,567,56.7,21546
coconut shoes,6666,181,6666,453,1,8,6485,35.83,6485
coconut shrimp bake,7775,1701,8394,2403,51,26,6074,3.57,157924
collar of blue plasma,7195,6308,7599,6704,1801,1233,887,0.14,1093671
collar of green plasma,6100,5746,6930,5984,1559,1330,354,0.06,470820
collar of red plasma,18648,17036,20733,18449,3238,1700,1612,0.09,2740400
coloured egg (blue),-1,-1,-1,-1,-1,-1,0,0,0
coloured egg (green),-1,-1,-1,-1,-1,-1,0,0,0
coloured egg (purple),-1,-1,-1,-1,-1,-1,0,0,0
coloured egg (red),-1,-1,-1,-1,-1,-1,0,0,0
coloured egg (yellow),-1,-1,-1,-1,-1,-1,0,0,0
colourful feather,65,65,0,61,0,37,0,0.0,0
colourful feathers,97000,40000,104103,57216,12,7,57000,1.43,399000
colourful fireworks rocket,-1,-1,-1,-1,-1,-1,0,0,0
colourful snail shell,-1,-1,-1,-1,-1,-1,0,0,0
comb,998,0,998,0,1,0,998,0,0
combat knife,49,0,72,0,11,0,49,0,0
compass,1936,1000,2617,911,7,33,936,0.94,6552
composite hornbow,25598,24730,25552,24699,112,278,868,0.04,97216
compound eye,0,108,0,112,0,111,-108,-1.0,0
compromising letter,-1,50,0,50,0,1,-51,-1.02,0
condensed energy,86,171,0,175,0,6,-85,-0.5,0
contract,-1,10000,0,38333,0,2,-10001,-1.0,0
control unit,700,51,810,52,46,44,649,12.73,28556
convince creature rune,197,21,400,12,71,89,176,8.38,12496
cookbook,75000,0,16277,0,9,0,75000,0,0
cookie,-1,0,0,0,0,0,-1,0,0
copper prison key,350000,154564,272250,0,4,0,195436,1.26,0
copper shield,13,13,0,11,0,5,0,0.0,0
copper valve,5000,0,3026,0,23,0,5000,0,0
coral brooch,798,705,798,709,1,405,93,0.13,93
coral comb,799000,701000,1061148,707404,6,6,98000,0.14,588000
corncob,-1,1,18,1,3,26,-2,-2.0,-6
corned fish,70000,5555,70000,1852,1,3,64445,11.6,64445
cornucopia,1390000,355500,1370000,0,2,0,1034500,2.91,0
corrupted flag,-1,-1,-1,-1,-1,-1,0,0,0
costume bag (common),-1,-1,-1,-1,-1,-1,0,0,0
costume bag (deluxe),-1,-1,-1,-1,-1,-1,0,0,0
costume bag (retro),-1,-1,-1,-1,-1,-1,0,0,0
costume bag (uncommon),-1,-1,-1,-1,-1,-1,0,0,0
countess sorrow's frozen tear,88000,88000,378950,22000,2,1,0,0.0,0
cow bell,40,40,0,0,0,0,0,0.0,0
cowbell,195,129,190,123,17,186,66,0.51,1122
cowtana,2799,2264,2424,1963,70,441,535,0.24,37450
crab man claws,255,255,0,392,0,29,0,0.0,0
crab pincers,125,10,555,10,25,127,115,11.5,2875
cracked alabaster vase,64,64,0,87,0,44,0,0.0,0
crackling egg,120000,120000,0,0,0,0,0,0.0,0
cranial basher,49900,16502,33724,18351,4,4,33398,2.02,133592
crawler head plating,5248,3711,5070,3913,422,311,1537,0.41,478007
crawler's essence,9000,5000,11067,3801,14,14,4000,0.8,56000
cream cake,5795,4001,8100,4200,10,108,1794,0.45,17940
crest of the deep seas,69899,55432,75389,48551,191,163,14467,0.26,2358121
crimson rose,98,2,105,2,51,11,96,48.0,1056
crimson sword,800,1,655,99,95,87,799,799.0,69513
crimson sword (uzgod),-1,-1,-1,-1,-1,-1,0,0,0
crocodile boots,1600,450,1486,400,43,86,1150,2.56,49450
crocodile steak,10000,10000,0,0,0,0,0,0.0,0
crossbow,19,19,0,16,0,155,0,0.0,0
crossbow of carving,-1,-1,-1,-1,-1,-1,0,0,0
crossbow of destruction,549986,408717,547533,420042,29,25,141269,0.35,3531725
crossbow of mayhem,-1,-1,-1,-1,-1,-1,0,0,0
crossbow of remedy,-1,-1,-1,-1,-1,-1,0,0,0
crowbar,7,1,139,4,218,144,6,6.0,864
crown,45999000,40000000,44983823,43109454,17,11,5999000,0.15,65989000
crown (plant),-1,-1,-1,-1,-1,-1,0,0,0
crown armor,12100,11181,11882,11210,142,1945,919,0.08,130498
crown backpack,3333,830,3484,429,107,62,2503,3.02,155186
crown helmet,2500,2118,2472,2111,288,1838,382,0.18,110016
crown legs,11999,11200,12047,11205,171,959,799,0.07,136629
crown shield,7944,7380,8051,7454,104,1015,564,0.08,58656
crude umbral axe,98000,29162,49020,28447,7,4,68838,2.36,275352
crude umbral blade,54974,21995,72675,20197,6,8,32979,1.5,197874
crude umbral bow,89727,34695,42609,19064,23,16,55032,1.59,880512
crude umbral chopper,59900,20000,94794,14825,2,3,39900,2.0,79800
crude umbral crossbow,77499,53000,79655,49801,5,7,24499,0.46,122495
crude umbral hammer,17000,5402,16570,7623,5,5,11598,2.15,57990
crude umbral mace,64300,11900,80738,16494,5,7,52400,4.4,262000
crude umbral slayer,34889,4900,62298,7603,3,6,29989,6.12,89967
crude umbral spellbook,207900,146004,215137,136669,15,11,61896,0.42,680856
crude wood planks,249799,10000,249749,103500,2,3,239799,23.98,479598
cruelty's chest,709000,709000,0,672400,0,5,0,0.0,0
cruelty's claw,628000,628000,0,579041,0,6,0,0.0,0
crunor idol,29091,29091,0,29147,0,31,0,0.0,0
crusader helmet,6099,5480,6008,5525,101,641,619,0.11,62519
cryana,260000,84000,280830,76000,7,1,176000,2.1,176000
crystal backpack,50000,37001,116562,69166,27,16,12999,0.35,207984
crystal ball,58,58,180,58,1,30,0,0.0,0
crystal bone,105,105,0,147,0,12,0,0.0,0
crystal boots,56666508,56666508,0,55000000,0,1,0,0.0,0
crystal crossbow,35990,34380,35637,34386,23,245,1610,0.05,37030
crystal lamp,5036,5036,0,0,0,0,0,0.0,0
crystal mace,11998,11730,12427,11185,9,540,268,0.02,2412
crystal necklace,400,388,412,388,11,407,12,0.03,132
crystal of balance,9900,402,20672,2800,4,8,9498,23.63,37992
crystal of focus,6599,1015,7510,1073,5,50,5584,5.5,27920
crystal of power,2800,1773,2861,1727,12,75,1027,0.58,12324
crystal pedestal (blue),-1,-1,-1,-1,-1,-1,0,0,0
crystal pedestal (cyan),-1,-1,-1,-1,-1,-1,0,0,0
crystal pedestal (green),-1,-1,-1,-1,-1,-1,0,0,0
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0
crystal ring,-1,10000,5000,10000,1,1,-10001,-1.0,-10001
crystal ring (eleonore),-1,-1,-1,-1,-1,-1,0,0,0
crystal sword,550,490,610,474,25,838,60,0.12,1500
crystal table kit,900000,10043,900000,0,1,0,889957,88.61,0
crystal wand,15000,6111,15000,6522,1,13,8889,1.45,8889
crystalline armor,16900,15680,16997,15708,7,260,1220,0.08,8540
crystalline arrow,21,19,20,18,1495,398,2,0.11,796
crystalline arrow earth,-1,-1,-1,-1,-1,-1,0,0,0
crystalline arrow energy,-1,-1,-1,-1,-1,-1,0,0,0
crystalline arrow fire,-1,-1,-1,-1,-1,-1,0,0,0
crystalline arrow ice,-1,-1,-1,-1,-1,-1,0,0,0
crystalline axe,14900,1000,25995,14381,34,22,13900,13.9,305800
crystalline spikes,-1,-1,-1,-1,-1,-1,0,0,0
crystalline sword,1000,236,946,210,89,198,764,3.24,67996
crystallized anger,1599,348,2176,678,129,217,1251,3.59,161379
cucumber,9,0,6,0,16,0,9,0,0
cultish mask,8099,7714,9947,8356,810,1039,385,0.05,311850
cultish robe,239,128,263,137,312,1045,111,0.87,34632
cultish symbol,299,298,508,402,6,281,1,0.0,6
cure poison rune (item),-1,-1,-1,-1,-1,-1,0,0,0
curious matter,499,370,463,361,14,297,129,0.35,1806
curl of hair,31000,289000,299999,289000,2,1,-258000,-0.89,-258000
cursed bone,5871,5581,5890,5396,25,331,290,0.05,7250
cursed shoulder spikes,-1,-1,-1,-1,-1,-1,0,0,0
cyan crystal fragment,-1,-1,-1,-1,-1,-1,0,0,0
cyclops toe,369,151,394,116,180,515,218,1.44,39240
cyclops trophy,-1,-1,-1,-1,-1,-1,0,0,0
dagger,20729,19880,20339,19685,51,1233,849,0.04,43299
damaged armor plates,212,212,0,207,0,67,0,0.0,0
damaged helmet,1000,4321,0,4321,0,1,-3321,-0.77,0
damaged logbook,-1,0,0,0,0,0,-1,0,0
damaged steel helmet,2299994,302000,2322497,0,4,0,1997994,6.62,0
damaged worm head,7680,7680,0,6533,0,18,0,0.0,0
damselfly eye,25,1,45,8,2,65,24,24.0,48
damselfly wing,189,38,243,61,173,163,151,3.97,24613
dandelion seeds,-1,-1,-1,-1,-1,-1,0,0,0
dangerous proto matter,-1,-1,-1,-1,-1,-1,0,0,0
daramian axe,-1,0,0,0,0,0,-1,0,0
daramian mace,500,1,895,2,15,21,499,499.0,7485
daramian waraxe,999,650,905,612,23,178,349,0.54,8027
dark armor,289,380,45,133,338,205,-91,-0.24,-18655
dark bell,278000,278000,99000,0,1,0,0,0.0,0
dark bell (silver),-1,-1,-1,-1,-1,-1,0,0,0
dark essence,900,0,1635,0,5,0,900,0,0
dark helmet,220,156,234,155,68,148,64,0.41,4352
dark lord's cape,60000000,60000000,0,60002500,0,2,0,0.0,0
dark mushroom,100,89,112,94,119,646,11,0.12,1309
dark rosary,55,1,55,7,1,93,54,54.0,54
dark shield,428,171,385,225,19,255,257,1.5,4883
dark trinity mace,-1,0,0,0,0,0,-1,0,0
dark whispers,122497,86201,143648,115838,129,112,36296,0.42,4065152
dawnfire pantaloons,12879992,10114000,14288624,11282000,24,16,2765992,0.27,44255872
dawnfire sherwani,4184992,2658000,4619937,3260171,19,11,1526992,0.57,16796912
dead frog (item),-1,-1,-1,-1,-1,-1,0,0,0
dead weight,448,407,502,389,2,101,41,0.1,82
deadeye devious' eye patch,998979,450001,626593,459287,17,9,548978,1.22,4940802
death amplification,1790000,912460,1543084,941843,21,12,877540,0.96,10530480
death gaze,6000000,6000000,0,0,0,0,0,0.0,0
death resilience,2099999,973004,1672034,1043458,16,10,1126995,1.16,11269950
death ring,1095,987,1089,987,171,1741,108,0.11,18468
deathstrike's snippet,88900,20000,81902,45455,26,13,68900,3.44,895700
decorative ribbon,2999999,824000,2949486,820900,2,1,2175999,2.64,2175999
deed of ownership,49000,500,49000,0,1,0,48500,97.0,0
deep crystal,7495,40,7459,38,6,3,7455,186.38,22365
deepling axe,39560,23620,39097,27753,10,18,15940,0.67,159400
deepling backpack,2296,835,2703,608,63,48,1461,1.75,70128
deepling breaktime snack,-1,1,150,23,1,31,-2,-2.0,-2
deepling ceremonial dagger,444400,221357,371460,266051,22,13,223043,1.01,2899559
deepling claw,-1,-1,-1,-1,-1,-1,0,0,0
deepling filet,-1,2,3,2,5,21,-3,-1.5,-15
deepling fork,3500000,2705004,3481127,2714402,15,10,794996,0.29,7949960
deepling guard belt buckle,-1,-1,-1,-1,-1,-1,0,0,0
deepling ridge,-1,-1,-1,-1,-1,-1,0,0,0
deepling scales,33,33,0,32,0,15,0,0.0,0
deepling squelcher,7199,4204,7069,16972,34,42,2995,0.71,101830
deepling staff,-1,2130,3651,2193,11,44,-2131,-1.0,-23441
deepling warts,397,136,1184,135,220,89,261,1.92,23229
deeptags,-1,-1,-1,-1,-1,-1,0,0,0
deepworm jaws,414,414,480,409,1,185,0,0.0,0
deepworm spike roots,620,552,619,557,2,157,68,0.12,136
deepworm spikes,-1,-1,-1,-1,-1,-1,0,0,0
deer trophy,3998,3045,7810,2415,127,77,953,0.31,73381
delany's golden bug trophy,111112,111112,0,0,0,0,0,0.0,0
delicate vase,98,0,240,0,1,0,98,0,0
demon armor,121999,80624,133139,96119,84,60,41375,0.51,2482500
demon backpack,995,25,539,161,318,187,970,38.8,181390
demon dust,740,452,931,512,162,180,288,0.64,46656
demon helmet,70000,50300,55780,42919,239,187,19700,0.39,3683900
demon horn,1070,834,987,811,45,492,236,0.28,10620
demon legs,3641994,2818001,3896767,2986075,25,14,823993,0.29,11535902
demon shield,30759,29930,30723,29756,421,874,829,0.03,349009
demon trophy,43900,33212,40475,36141,31,46,10688,0.32,331328
demonbone,157720,157720,559925,0,2,0,0,0.0,0
demonbone amulet,34600,30900,31971,29924,8,100,3700,0.12,29600
demonic candy ball,3963,1523,3190,1547,49,38,2440,1.6,92720
demonic essence,997,974,1001,975,263,2645,23,0.02,6049
demonic finger,335,335,0,0,0,0,0,0.0,0
demonic skeletal hand,549,205,909,179,192,396,344,1.68,66048
demonic tapestry,239677,100100,223125,87438,12,12,139577,1.39,1674924
demonrage sword,36777,35280,36796,35313,4,238,1497,0.04,5988
demonwing axe,579994,200000,569116,518025,7,9,379994,1.9,2659958
depth calcei,384200,350000,383211,320934,109,107,34200,0.1,3659400
depth lorica,426899,381004,403946,329908,80,91,45895,0.12,3671600
depth ocrea,65000,25600,69396,29429,27,17,39400,1.54,669800
depth scutum,99900,22300,124873,26913,4,3,77600,3.48,232800
destroy field rune,16,1,16,5,551,182,15,15.0,2730
devil helmet,800,550,927,503,42,320,250,0.45,10500
devourer core,30001,30001,0,0,0,0,0,0.0,0
diabolic skull,18670,17336,18683,17287,12,33,1334,0.08,16008
diamond,15300,14480,23372,14039,4,278,820,0.06,3280
diamond arrow,102,98,101,97,2146,343,4,0.04,1372
diamond necklace,850000,850000,0,0,0,0,0,0.0,0
diamond sceptre,8989,2965,3245,2938,24,1125,6024,2.03,144576
diapason,81500,40007,80376,43820,28,8,41493,1.04,331944
didgeridoo,1999,0,1950,0,2,0,1999,0,0
dinky moss floret,14000,6,5939,6,10,2,13994,2332.33,27988
dinky moss floret garland,32888,105,31632,0,3,0,32783,312.22,0
diremaw brainpan,326,266,324,248,8,220,60,0.23,480
diremaw legs,195,195,275,184,2,153,0,0.0,0
dirty fur,-1,0,20,0,45,0,-1,0,0
dirty turban,198,52,196,64,2,115,146,2.81,292
disgusting trophy,2449000,223000,2449000,0,1,0,2226000,9.98,0
disintegrate rune,20,2,25,5,235,83,18,9.0,1494
distorted heart,1656,1656,0,1653,0,7,0,0.0,0
distorted robe,400,901,0,901,0,1,-501,-0.56,0
divine plate,55900,54090,55839,54102,6,37,1810,0.03,10860
djinn blade,145000,69610,133600,76718,8,5,75390,1.08,376950
djinn's lamp,10000,10000,0,0,0,0,0,0.0,0
document of the follower,2000,400,2415,400,40,7,1600,4.0,11200
document of the leader,24950,327,26743,286,24,5,24623,75.3,123115
document of the officer,3400,150,3663,150,33,6,3250,21.67,19500
dog collar,500,500,0,0,0,0,0,0.0,0
doll,2111111,950300,1752427,950566,4,3,1160811,1.22,3482433
doll of durin the almighty (replica),-1,-1,-1,-1,-1,-1,0,0,0
double axe,247,141,241,132,20,185,106,0.75,2120
doublet,900,0,3513,0,7,0,900,0,0
downy feather,2929,2929,0,2512,0,7,0,0.0,0
dowser,10,5,639,8,5,52,5,1.0,25
drachaku,9671,8817,14312,8717,6,39,854,0.1,5124
dracola's eye,298999,150100,294966,0,3,0,148899,0.99,0
dragha's spellbook,2999,500,2798,500,13,3,2499,5.0,7497
dragon backpack,760,401,797,161,168,72,359,0.9,25848
dragon blood,10000,603,99991,607,1,5,9397,15.58,9397
dragon claw,492396,357300,523640,412854,35,21,135096,0.38,2837016
dragon crown,28900,4400,55500,3845,1,9,24500,5.57,24500
dragon egg shells,-1,-1,-1,-1,-1,-1,0,0,0
dragon eye (replica),-1,-1,-1,-1,-1,-1,0,0,0
dragon figurine,59999,44091,59796,42104,4,64,15908,0.36,63632
dragon ham,-1,1,21,5,172,175,-2,-2.0,-344
dragon hammer,2000,1751,1886,1672,57,837,249,0.14,14193
dragon lance,13999,8249,9465,8205,11,76,5750,0.7,63250
dragon lord trophy,9999,7348,9887,7918,24,121,2651,0.36,63624
dragon necklace,249,50,246,51,261,507,199,3.98,51939
dragon priest's wandtip,240,62,199,118,5,130,178,2.87,890
dragon robe,109200,62001,111716,69352,4,8,47199,0.76,188796
dragon scale boots,35000000,35000000,0,37333666,0,3,0,0.0,0
dragon scale helmet,1698095,1457119,1940134,1462541,10,8,240976,0.17,1927808
dragon scale legs,300,11,3480,10,8,31,289,26.27,2312
dragon scale mail,40799,39382,42080,39408,122,199,1417,0.04,172874
dragon shield,3815,3815,4033,3672,180,605,0,0.0,0
dragon slayer,17058,14381,18737,14380,20,166,2677,0.19,53540
dragon statue kit,24999,220,29614,0,6,0,24779,112.63,0
dragon tapestry,999,10,1024,77,27,8,989,98.9,7912
dragon throne kit,129900,80400,106095,80543,10,4,49500,0.62,198000
dragon tongue,-1,1,0,275,0,7,-2,-2.0,0
dragon's tail,95,1,114,80,44,1065,94,94.0,4136
dragonbone staff,2989,2960,2996,2962,6,633,29,0.01,174
dragonfetish,73125,2125,49312,2000,2,1,71000,33.41,71000
dragonfruit,400,0,549,0,2,0,400,0,0
draken boots,41900,39280,40740,38724,80,111,2620,0.07,209600
draken sulphur,779,487,1219,598,472,208,292,0.6,60736
draken trophy,14950,7002,14950,7734,1,11,7948,1.14,7948
draken wristbands,-1,-1,-1,-1,-1,-1,0,0,0
drakinata,9948,9381,9428,9250,29,464,567,0.06,16443
draptor scales,5555,5555,0,2999,0,2,0,0.0,0
drawer kit,100000,100000,0,0,0,0,0,0.0,0
dreaded cleaver,14500,13595,14741,14110,29,814,905,0.07,26245
dream blossom staff,5774,4481,5888,4515,180,229,1293,0.29,232740
dream essence egg,200,130,219,126,25,263,70,0.54,1750
dream matter,6970,2100,6895,2504,66,62,4870,2.32,301940
dream shroud,899989,714100,1077588,885636,64,57,185889,0.26,10595673
dream warden claw,3293000,2543000,3250487,2507000,5,1,750000,0.29,750000
dream warden mask,159599,100600,173541,104457,7,10,58999,0.59,412993
dresser kit,100000,100000,0,0,0,0,0,0.0,0
drill bolt,14,10,13,7,196,186,4,0.4,744
drum,100,100,0,0,0,0,0,0.0,0
dry piece of wood,143800,75200,122986,73000,8,7,68600,0.91,480200
dubious piece of cloth,5400,1000,3817,376,90,32,4400,4.4,140800
dung ball,119800,90401,162862,90529,54,26,29399,0.33,764374
dung ball (quest),-1,-1,-1,-1,-1,-1,0,0,0
dwarf disguise kit,10000,10000,0,0,0,0,0,0.0,0
dwarven armor,5590000,4162000,4503869,3749429,29,14,1428000,0.34,19992000
dwarven axe,3000,446,4488,436,32,37,2554,5.73,81728
dwarven beard,300,40,300,62,1,36,260,6.5,260
dwarven helmet,584593,450001,642543,433406,22,19,134592,0.3,2557248
dwarven legs,211999,183601,184005,152180,181,141,28398,0.15,4004118
dwarven pickaxe,8790,893,5104,1105,359,75,7897,8.84,592275
dwarven ring,2456,2185,2324,2102,3170,756,271,0.12,204876
dwarven shield,439,37,703,51,135,101,402,10.86,40602
eagle shield,-1,0,0,0,0,0,-1,0,0
earflap,30,30,94,27,5,198,0,0.0,0
earth amplification,430000,430000,706807,439305,13,8,0,0.0,0
earth arrow,-1,1,6,1,31,113,-2,-2.0,-62
earth barbaric axe replica,50,50,0,50,0,1,0,0.0,0
earth basher replica,24999,50,24999,0,1,0,24949,498.98,0
earth blacksteel replica,50,50,0,0,0,0,0,0.0,0
earth cleric mace replica,24999,50,24999,50,1,1,24949,498.98,24949
earth crystal mace replica,50,50,0,50,0,1,0,0.0,0
earth headchopper replica,50,50,0,0,0,0,0,0.0,0
earth heroic axe replica,50,50,0,0,0,0,0,0.0,0
earth knight axe replica,50,50,0,0,0,0,0,0.0,0
earth mystic blade replica,39999,50,40000,0,1,0,39949,798.98,0
earth orcish maul replica,50,50,5000,0,2,0,0,0.0,0
earth relic sword replica,50,50,0,50,0,1,0,0.0,0
earth resilience,1350000,585463,1018420,0,19,0,764537,1.31,0
earth slayer replica,50,50,0,0,0,0,0,0.0,0
earth spike sword replica,50,50,0,0,0,0,0,0.0,0
earth war axe replica,50,50,0,0,0,0,0,0.0,0
earth war hammer replica,39999,50,39999,0,1,0,39949,798.98,0
earthborn titan armor,22999000,23000000,22999000,23000000,1,1,-1000,-0.0,-1000
earthheart cuirass,1300000,706196,846918,651027,10,6,593804,0.84,3562824
earthheart hauberk,849000,466719,824244,460010,4,1,382281,0.82,382281
earthheart platemail,1000000,850002,1000000,925001,1,2,149998,0.18,149998
earthmind raiment,2600400,666704,878493,564861,34,24,1933696,2.9,46408704
earthsoul tabard,739400,400718,652297,423503,8,7,338682,0.85,2370774
easel kit,6000000,2506000,6115333,0,5,0,3494000,1.39,0
easily inflammable sulphur,20000,20000,0,0,0,0,0,0.0,0
eclesius' sandals,10000,10000,0,0,0,0,0,0.0,0
ectoplasmic shield,299900,217203,379352,266680,33,35,82697,0.38,2729001
ectoplasmic sushi,-1,-1,-1,-1,-1,-1,0,0,0
egg,199,1,219,1,5,1,198,198.0,198
egg of the many,55000,30000,85421,40287,110,25,25000,0.83,625000
elane's crossbow,494999,26000,457923,10000,13,1,468999,18.04,468999
elder bonelord tentacle,-1,-1,-1,-1,-1,-1,0,0,0
eldritch bow,20999994,10122000,21991527,13278001,4,2,10877994,1.07,21755988
eldritch breeches,14988000,14000000,13645833,10697500,6,6,988000,0.07,5928000
eldritch casket,150000,30000,153897,30000,15,1,120000,4.0,120000
eldritch claymore,79000000,61002000,73000000,0,3,0,17998000,0.3,0
eldritch cowl,19996000,12326000,21901557,12166000,8,2,7670000,0.62,15340000
eldritch crystal,54999,40800,59945,105331,14,18,14199,0.35,198786
eldritch cuirass,12499990,9000000,11780677,9250000,7,2,3499990,0.39,6999980
eldritch folio,19999000,13502000,19287332,13752002,9,2,6497000,0.48,12994000
eldritch greataxe,29478999,21002000,29742000,21002000,2,2,8476999,0.4,16953998
eldritch hood,39999999,28918191,35842771,21356333,7,3,11081808,0.38,33245424
eldritch quiver,44950000,33054000,40204446,27018728,7,2,11896000,0.36,23792000
eldritch rod,9499999,7800000,9633333,8533933,3,3,1699999,0.22,5099997
eldritch shield,99996000,64478000,86578600,68671166,5,6,35518000,0.55,177590000
eldritch tome,30000000,36200000,37670471,36200000,4,1,-6200000,-0.17,-6200000
eldritch wand,5699999,5675861,5336564,5675861,7,1,24138,0.0,24138
eldritch warmace,29400000,24000000,29692551,25000000,2,2,5400000,0.23,10800000
elemental crystal,15000,700,6449,700,24,3,14300,20.43,42900
elemental spikes,179999,156010999,144000000,156011499,1,2,-155831000,-1.0,-155831000
elethriel's elemental bow,-1,0,0,0,0,0,-1,0,0
elite draken helmet,290979,236920,349188,299725,103,94,54059,0.23,5081546
elite draken mail,220000,133500,219195,71316,35,24,86500,0.65,2076000
elven amulet,91,79,88,40,143,622,12,0.15,1716
elven astral observer,84,70,83,70,17,653,14,0.2,238
elven brooch,10000,10000,0,0,0,0,0,0.0,0
elven hoof,8926,7306,7828,6928,639,526,1620,0.22,852120
elven legs,888,100,1978,95,7,29,788,7.88,5516
elven mail,1871899,1703101,1991521,1703313,151,118,168798,0.1,19918164
elven poetry book,99999,5555,90000,0,2,0,94444,17.0,0
elven scouting glass,998,914,1255,925,675,943,84,0.09,56700
elven vase,10000,10000,0,0,0,0,0,0.0,0
elvenhair rope,38999,16501,37170,18479,64,38,22498,1.36,854924
elvish bow,2399,1945,2287,1946,233,294,454,0.23,105782
elvish talisman,5027,4014,4438,3756,2220,1791,1013,0.25,1814283
embrace of nature,29999,13100,49077,21871,112,100,16899,1.29,1689900
emerald bangle,795,787,831,780,6,1354,8,0.01,48
emerald necklace,450000,350000,447222,350000,2,1,100000,0.29,100000
emerald sword,259997,160904,199889,143057,50,40,99093,0.62,3963720
emergency kit,10000,10000,0,0,0,0,0,0.0,0
empty beer bottle,-1,0,0,0,0,0,-1,0,0
empty beer mug,125555,125555,0,0,0,0,0,0.0,0
empty flower pot,48,0,287,0,17,0,48,0,0
empty goldfish bowl,555,0,386,0,3,0,555,0,0
empty honey glass,127,740,22,112,592,183,-613,-0.83,-112179
empty jug,0,0,0,0,0,0,0,0,0
empty potion flask (large),-1,-1,-1,-1,-1,-1,0,0,0
empty potion flask (medium),-1,-1,-1,-1,-1,-1,0,0,0
empty potion flask (small),-1,-1,-1,-1,-1,-1,0,0,0
enchanted chicken wing,32998,30000,33364,30818,97,23,2998,0.1,68954
enchanted pendulet,4491000,3338005,4289271,3568374,25,24,1152995,0.35,27671880
enchanted sleep shawl,1049900,909114,1062698,904643,136,86,140786,0.15,12107596
enchanted spear,59,25,53,20,362,99,34,1.36,3366
enchanted turtle amulet,53400000,46022000,51018043,46069916,18,12,7378000,0.16,88536000
encyclopedia (replica),-1,-1,-1,-1,-1,-1,0,0,0
energetic backpack,122403,80600,121593,73505,38,31,41803,0.52,1295893
energized demonbone,0,1,0,25000,0,2,-1,-1.0,0
energized limb,229700,127925,237657,145919,35,29,101775,0.8,2951475
energy amplification,999999,420001,987555,720454,9,11,579998,1.38,5219982
energy axe replica,50,50,29999,50,2,1,0,0.0,0
energy ball,1488,180,1529,227,12,208,1308,7.27,15696
energy bar,15,6,15,7,17,602,9,1.5,153
energy basher replica,9998,50,50000,50,1,2,9948,198.96,9948
energy blacksteel replica,50,50,0,50,0,1,0,0.0,0
energy blade replica,50,200000,0,200000,0,1,-199950,-1.0,0
energy bomb rune,208,200,212,200,1118,298,8,0.04,2384
energy cleric mace replica,5000,50,11399,50,7,3,4950,99.0,14850
energy drink,17,6,16,7,21,296,11,1.83,231
energy field rune,70,2,93,8,75,38,68,34.0,2584
energy headchopper replica,2000,50,39999,50,1,1,1950,39.0,1950
energy heroic axe replica,50,50,0,50,0,1,0,0.0,0
energy knight axe replica,50,50,50000,0,1,0,0,0.0,0
energy mace replica,50,50,4999,50,1,1,0,0.0,0
energy orcish maul replica,39999,50,39999,0,1,0,39949,798.98,0
energy relic sword replica,50,50,0,0,0,0,0,0.0,0
energy resilience,850000,400000,750505,430607,16,7,450000,1.12,3150000
energy ring,76,48,182,37,1091,1024,28,0.58,28672
energy slayer replica,50,50,0,0,0,0,0,0.0,0
energy soil,10877,6615,10355,5044,126,44,4262,0.64,187528
energy spike sword replica,39999,50,45000,0,1,0,39949,798.98,0
energy vein,353,154,349,224,49,209,199,1.29,9751
energy wall rune,84,53,80,32,274,133,31,0.58,4123
energy war axe replica,0,0,0,0,0,0,0,0,0
